Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Clifford Robinson,PHX,2000, PF,6125000,33,208.28,102.0582,80,18.5,4.5,2.8,4.6,0.042,0.096,0.229,0.564,0.134,53-29,0.646,82
Jason Kidd,PHX,2000, PG,6858000,27,193.04,96.161504,67,14.3,7.2,10.1,5.8,0.041,0.164,0.199,0.498,0.395,53-29,0.646,82
Anfernee Hardaway,PHX,2000, SF,9000000,28,200.66,97.52228,60,16.9,5.8,5.3,8.8,0.047,0.121,0.212,0.549,0.23,53-29,0.646,82
Lamond Murray,CLE,2000, SF,3000000,27,200.66,107.047712,74,15.9,5.7,1.8,-3.7,0.058,0.139,0.242,0.517,0.101,32-50,0.39,82
Wesley Person,CLE,2000, SF,4900000,29,198.12,88.45044,79,9.2,3.4,1.8,-2.1,0.023,0.124,0.158,0.528,0.114,32-50,0.39,82
Trajan Langdon,CLE,2000, SG,1394000,24,190.5,88.45044,10,4.9,1.5,1.1,18.8,0.031,0.079,0.147,0.546,0.104,32-50,0.39,82
Shawn Kemp,CLE,2000, C,10780000,30,208.28,127.00576,82,17.8,8.8,1.7,-2.3,0.101,0.224,0.298,0.508,0.098,32-50,0.39,82
Andre Miller,CLE,2000, PG,1682000,24,187.96,92.079176,82,11.1,3.4,5.8,-1.6,0.046,0.105,0.222,0.517,0.386,32-50,0.39,82
Bob Sura,CLE,2000, PG,3760000,27,195.58,90.7184,73,13.8,3.9,3.9,-3.6,0.025,0.12,0.208,0.545,0.215,32-50,0.39,82
Lawrence Funderburke,SAC,2000, PF,2400000,29,205.74,104.32616,75,6.4,3.1,0.4,3.5,0.1,0.144,0.192,0.569,0.053,44-38,0.537,82
Vlade Divac,SAC,2000, C,8837000,32,215.9,117.93392,82,12.3,8,3,2.5,0.075,0.205,0.19,0.552,0.148,44-38,0.537,82
Jason Williams,SAC,2000, PG,1879000,24,185.42,86.18248,81,12.3,2.8,7.3,0.4,0.008,0.077,0.199,0.477,0.297,44-38,0.537,82
Lorenzen Wright,ATL,2000, PF,4400000,24,210.82,108.86208,75,6,4.1,0.3,-9,0.103,0.173,0.175,0.533,0.029,28-54,0.341,82
Roshown McLeod,ATL,2000, F,914000,24,203.2,100.243832,44,7.2,3.1,1.2,-8.5,0.052,0.12,0.214,0.438,0.102,28-54,0.341,82
